SiO2 Na2O B2O3 CaO Al2O3 K2O Li2O MgO PbO BaO TiO2 GeO2 ZnO
56.7 11.0 0.0 0.0 0.0 0.0 0.0 32.3 0.0 0.0 0.0 0.0 0.0
54.7 11.0 0.0 0.0 0.0 0.0 0.0 34.3 0.0 0.0 0.0 0.0 0.0
65.0 11.3 0.0 0.0 0.0 0.0 0.0 23.7 0.0 0.0 0.0 0.0 0.0
65.0 11.7 0.0 0.0 0.0 0.0 0.0 23.3 0.0 0.0 0.0 0.0 0.0
70.0 11.8 0.0 0.0 0.0 0.0 0.0 18.2 0.0 0.0 0.0 0.0 0.0
65.0 13.2 0.0 0.0 0.0 0.0 0.0 21.8 0.0 0.0 0.0 0.0 0.0
70.0 15.0 0.0 0.0 0.0 0.0 0.0 15.0 0.0 0.0 0.0 0.0 0.0
65.0 15.9 0.0 0.0 0.0 0.0 0.0 19.1 0.0 0.0 0.0 0.0 0.0
69.2 16.0 0.0 0.0 0.0 0.0 0.0 14.8 0.0 0.0 0.0 0.0 0.0
65.5 16.0 0.0 0.0 0.0 0.0 0.0 18.5 0.0 0.0 0.0 0.0 0.0
65.0 16.0 0.0 0.0 0.0 0.0 0.0 19.0 0.0 0.0 0.0 0.0 0.0
61.5 16.0 0.0 0.0 0.0 0.0 0.0 22.5 0.0 0.0 0.0 0.0 0.0
59.6 16.0 0.0 0.0 0.0 0.0 0.0 24.4 0.0 0.0 0.0 0.0 0.0
58.3 16.0 0.0 0.0 0.0 0.0 0.0 25.7 0.0 0.0 0.0 0.0 0.0
56.0 16.0 0.0 0.0 0.0 0.0 0.0 28.0 0.0 0.0 0.0 0.0 0.0
53.5 16.0 0.0 0.0 0.0 0.0 0.0 30.5 0.0 0.0 0.0 0.0 0.0
65.0 16.6 0.0 0.0 0.0 0.0 0.0 18.4 0.0 0.0 0.0 0.0 0.0
57.0 17.2 0.0 0.0 0.0 0.0 0.0 25.8 0.0 0.0 0.0 0.0 0.0
57.0 17.9 0.0 0.0 0.0 0.0 0.0 25.1 0.0 0.0 0.0 0.0 0.0
70.0 18.8 0.0 0.0 0.0 0.0 0.0 11.2 0.0 0.0 0.0 0.0 0.0
57.0 21.5 0.0 0.0 0.0 0.0 0.0 21.5 0.0 0.0 0.0 0.0 0.0
65.0 21.9 0.0 0.0 0.0 0.0 0.0 13.1 0.0 0.0 0.0 0.0 0.0
64.9 22.0 0.0 0.0 0.0 0.0 0.0 13.1 0.0 0.0 0.0 0.0 0.0
62.7 22.0 0.0 0.0 0.0 0.0 0.0 15.3 0.0 0.0 0.0 0.0 0.0
60.3 22.0 0.0 0.0 0.0 0.0 0.0 17.7 0.0 0.0 0.0 0.0 0.0
58.1 22.0 0.0 0.0 0.0 0.0 0.0 19.9 0.0 0.0 0.0 0.0 0.0
56.6 22.0 0.0 0.0 0.0 0.0 0.0 21.4 0.0 0.0 0.0 0.0 0.0
54.6 22.0 0.0 0.0 0.0 0.0 0.0 23.4 0.0 0.0 0.0 0.0 0.0
53.2 22.0 0.0 0.0 0.0 0.0 0.0 24.8 0.0 0.0 0.0 0.0 0.0
57.0 22.2 0.0 0.0 0.0 0.0 0.0 20.8 0.0 0.0 0.0 0.0 0.0
57.0 23.2 0.0 0.0 0.0 0.0 0.0 19.8 0.0 0.0 0.0 0.0 0.0
65.0 25.8 0.0 0.0 0.0 0.0 0.0 9.2 0.0 0.0 0.0 0.0 0.0
57.0 27.0 0.0 0.0 0.0 0.0 0.0 16.0 0.0 0.0 0.0 0.0 0.0
90.14 3.77 0.0 6.09 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
89.91 5.81 0.0 4.28 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
86.2 10.57 0.0 3.22 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
85.56 7.89 0.0 6.54 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
83.0 8.9 0.0 8.1 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
78.14 16.49 0.0 5.37 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
77.73 11.59 0.0 10.68 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
76.97 14.45 0.0 8.57 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
75.51 8.55 0.0 15.93 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
75.82 12.41 0.0 11.77 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
76.27 18.35 0.0 5.38 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
75.04 5.93 0.0 19.03 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
75.72 18.1 0.0 6.18 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
74.32 4.28 0.0 21.4 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
75.2 16.72 0.0 8.07 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
75.0 16.96 0.0 8.03 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
74.79 14.54 0.0 10.66 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
74.38 9.7 0.0 15.92 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
74.51 14.7 0.0 10.79 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
74.5 14.78 0.0 10.72 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
73.44 5.14 0.0 21.42 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
73.36 5.22 0.0 21.42 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
