SiO2 Al2O3 Na2O CaO B2O3 MgO K2O Li2O P2O5 PbO
82.85 1.46 3.49 0.0 11.74 0.0 0.46 0.0 0.0 0.0
10.0 12.0 0.0 20.0 50.0 8.0 0.0 0.0 0.0 0.0
20.0 12.0 0.0 20.0 40.0 8.0 0.0 0.0 0.0 0.0
30.0 12.0 0.0 15.0 30.0 8.0 5.0 0.0 0.0 0.0
40.0 12.0 5.0 10.0 20.0 8.0 5.0 0.0 0.0 0.0
45.0 15.0 5.0 10.0 10.0 10.0 0.0 5.0 0.0 0.0
45.0 10.0 5.0 5.0 20.0 10.0 5.0 0.0 0.0 0.0
50.0 10.0 5.0 10.0 10.0 10.0 5.0 0.0 0.0 0.0
50.0 10.0 5.0 10.0 10.0 10.0 0.0 5.0 0.0 0.0
50.0 12.0 0.0 20.0 10.0 8.0 0.0 0.0 0.0 0.0
70.41 1.05 12.47 9.54 0.0 5.9 0.63 0.0 0.0 0.0
73.16 0.38 13.26 12.55 0.0 0.15 0.21 0.0 0.0 0.0
71.94 0.35 14.47 10.84 0.0 1.64 0.19 0.0 0.0 0.0
70.19 0.35 14.68 8.27 0.0 5.76 0.19 0.0 0.0 0.0
55.0 12.0 5.0 5.0 10.0 8.0 5.0 0.0 0.0 0.0
55.0 10.0 5.0 0.0 15.0 10.0 5.0 0.0 0.0 0.0
55.0 10.0 5.0 0.0 20.0 5.0 5.0 0.0 0.0 0.0
55.0 10.0 5.0 0.0 25.0 0.0 5.0 0.0 0.0 0.0
60.0 2.5 12.5 0.0 10.0 10.0 5.0 0.0 0.0 0.0
65.0 5.0 10.0 3.0 5.0 5.0 5.0 2.0 0.0 0.0
65.0 5.0 12.0 3.0 5.0 5.0 5.0 0.0 0.0 0.0
65.0 5.0 11.0 5.0 5.0 5.0 2.0 2.0 0.0 0.0
65.0 5.0 9.0 5.0 5.0 5.0 4.0 2.0 0.0 0.0
65.0 5.0 7.0 5.0 5.0 5.0 6.0 2.0 0.0 0.0
75.58 0.0 13.65 10.77 0.0 0.0 0.0 0.0 0.0 0.0
77.0 0.0 13.9 9.1 0.0 0.0 0.0 0.0 0.0 0.0
78.62 0.0 5.78 0.0 15.6 0.0 0.0 0.0 0.0 0.0
82.05 0.0 5.59 0.0 12.36 0.0 0.0 0.0 0.0 0.0
81.0 4.0 15.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
75.0 4.0 15.0 0.0 6.0 0.0 0.0 0.0 0.0 0.0
69.0 4.0 15.0 0.0 12.0 0.0 0.0 0.0 0.0 0.0
63.0 4.0 15.0 0.0 18.0 0.0 0.0 0.0 0.0 0.0
43.0 4.0 15.0 0.0 38.0 0.0 0.0 0.0 0.0 0.0
22.0 4.0 15.0 0.0 59.0 0.0 0.0 0.0 0.0 0.0
70.28 0.0 24.34 5.38 0.0 0.0 0.0 0.0 0.0 0.0
69.82 0.0 4.55 0.0 25.63 0.0 0.0 0.0 0.0 0.0
68.83 1.4 13.78 8.06 0.0 6.95 0.94 0.0 0.0 0.0
71.38 1.21 13.09 7.17 0.0 6.08 1.03 0.0 0.0 0.0
58.53 9.37 3.7 0.0 4.34 13.04 1.22 6.88 0.0 0.0
57.66 9.56 3.79 0.0 4.43 13.3 1.25 7.03 0.0 0.0
78.0 2.0 15.0 2.5 0.0 2.5 0.0 0.0 0.0 0.0
75.0 2.0 17.0 0.0 0.0 6.0 0.0 0.0 0.0 0.0
75.0 6.0 17.0 0.0 0.0 2.0 0.0 0.0 0.0 0.0
79.0 2.0 13.0 1.0 0.0 4.0 1.0 0.0 0.0 0.0
77.5 2.0 13.0 2.5 0.0 4.0 1.0 0.0 0.0 0.0
76.0 2.0 13.0 4.0 0.0 4.0 1.0 0.0 0.0 0.0
80.0 0.0 14.0 0.0 0.0 6.0 0.0 0.0 0.0 0.0
76.0 0.0 14.0 0.0 0.0 10.0 0.0 0.0 0.0 0.0
72.0 0.0 14.0 0.0 0.0 14.0 0.0 0.0 0.0 0.0
73.3 0.0 26.7 0.0 0.0 0.0 0.0 0.0 0.0 0.0
69.5 5.4 25.1 0.0 0.0 0.0 0.0 0.0 0.0 0.0
66.3 10.3 23.4 0.0 0.0 0.0 0.0 0.0 0.0 0.0
61.1 15.5 23.4 0.0 0.0 0.0 0.0 0.0 0.0 0.0
53.7 20.9 25.4 0.0 0.0 0.0 0.0 0.0 0.0 0.0
49.1 25.4 25.5 0.0 0.0 0.0 0.0 0.0 0.0 0.0
45.1 30.0 24.9 0.0 0.0 0.0 0.0 0.0 0.0 0.0
79.8 2.02 13.13 1.01 0.0 4.04 0.0 0.0 0.0 0.0
70.03 1.24 5.56 9.47 4.43 4.94 0.0 4.33 0.0 0.0
41.9 16.2 0.0 41.9 0.0 0.0 0.0 0.0 0.0 0.0
21.39 15.58 0.0 0.0 0.0 0.0 8.56 0.0 54.47 0.0
25.35 14.6 0.0 0.0 0.0 0.0 7.78 0.0 52.27 0.0
32.81 14.88 0.0 0.0 0.0 0.0 6.67 0.0 45.64 0.0
36.05 13.39 0.0 0.0 0.0 0.0 6.35 0.0 44.21 0.0
69.34 5.68 5.57 0.0 4.78 0.0 1.83 10.33 0.0 0.0
68.19 5.6 5.94 0.0 4.76 0.0 1.95 11.09 0.0 0.0
69.58 5.61 5.45 0.0 4.76 0.0 1.83 10.3 0.0 0.0
68.7 6.36 5.48 0.0 4.79 0.0 1.84 10.35 0.0 0.0
68.75 5.64 7.38 0.0 4.8 0.0 1.64 9.31 0.0 0.0
69.93 5.75 7.56 0.0 3.01 0.0 1.7 9.5 0.0 0.0
68.15 5.59 3.47 0.0 4.75 0.0 1.17 13.95 0.0 0.0
66.35 5.44 1.93 0.0 4.63 0.0 0.63 18.18 0.0 0.0
69.42 5.7 3.32 0.0 4.84 0.0 2.05 11.7 0.0 0.0
68.67 5.63 1.7 0.0 4.79 0.0 2.43 13.84 0.0 0.0
70.4 5.76 3.46 0.0 2.37 0.0 1.17 13.93 0.0 0.0
68.54 5.61 1.92 0.0 2.31 0.0 0.63 18.15 0.0 0.0
65.05 8.53 3.53 0.0 4.49 0.0 1.2 14.23 0.0 0.0
63.29 8.3 1.96 0.0 4.37 0.0 0.65 18.53 0.0 0.0
68.54 6.83 3.49 0.0 3.01 0.0 1.18 14.02 0.0 0.0
70.78 5.81 5.14 0.0 4.94 0.0 1.9 9.6 0.0 0.0
70.64 5.8 5.54 0.0 4.93 0.0 1.69 9.57 0.0 0.0
64.88 9.43 5.04 0.0 4.49 0.0 1.65 12.54 0.0 0.0
45.0 15.0 5.0 10.0 10.0 10.0 5.0 0.0 0.0 0.0
