SiO2 Al2O3 CaO Na2O MgO B2O3 Li2O GeO2 K2O P2O5 BaO
80.0 0.0 0.0 0.0 0.0 4.0 0.0 0.0 16.0 0.0 0.0
76.0 0.0 0.0 0.0 0.0 8.0 0.0 0.0 16.0 0.0 0.0
72.0 0.0 0.0 0.0 0.0 12.0 0.0 0.0 16.0 0.0 0.0
68.0 0.0 0.0 0.0 0.0 16.0 0.0 0.0 16.0 0.0 0.0
64.0 0.0 0.0 0.0 0.0 20.0 0.0 0.0 16.0 0.0 0.0
52.0 0.0 0.0 0.0 0.0 32.0 0.0 0.0 16.0 0.0 0.0
50.1 0.0 0.0 39.1 0.0 10.8 0.0 0.0 0.0 0.0 0.0
66.67 14.44 0.0 0.0 0.0 0.0 18.89 0.0 0.0 0.0 0.0
80.0 0.0 0.0 15.0 0.0 5.0 0.0 0.0 0.0 0.0 0.0
75.0 0.0 0.0 15.0 0.0 10.0 0.0 0.0 0.0 0.0 0.0
70.0 0.0 0.0 15.0 0.0 15.0 0.0 0.0 0.0 0.0 0.0
65.0 0.0 0.0 15.0 0.0 20.0 0.0 0.0 0.0 0.0 0.0
70.0 0.0 0.0 25.0 0.0 5.0 0.0 0.0 0.0 0.0 0.0
65.0 0.0 0.0 25.0 0.0 10.0 0.0 0.0 0.0 0.0 0.0
55.0 0.0 0.0 25.0 0.0 20.0 0.0 0.0 0.0 0.0 0.0
45.0 0.0 0.0 25.0 0.0 30.0 0.0 0.0 0.0 0.0 0.0
65.0 0.0 0.0 17.5 0.0 17.5 0.0 0.0 0.0 0.0 0.0
66.67 0.0 0.0 11.11 0.0 22.22 0.0 0.0 0.0 0.0 0.0
72.73 0.0 0.0 9.09 0.0 18.18 0.0 0.0 0.0 0.0 0.0
76.92 0.0 0.0 7.69 0.0 15.38 0.0 0.0 0.0 0.0 0.0
80.0 0.0 0.0 6.67 0.0 13.33 0.0 0.0 0.0 0.0 0.0
15.38 0.0 0.0 0.0 0.0 7.69 0.0 0.0 76.92 0.0 0.0
66.67 0.0 0.0 0.0 0.0 22.22 0.0 0.0 11.11 0.0 0.0
72.73 0.0 0.0 0.0 0.0 18.18 0.0 0.0 9.09 0.0 0.0
76.92 0.0 0.0 0.0 0.0 15.38 0.0 0.0 7.69 0.0 0.0
76.6 0.0 0.0 23.2 0.0 0.0 0.0 0.0 0.0 0.0 0.0
76.6 0.0 0.0 22.6 0.0 0.0 0.0 0.0 0.0 0.0 0.0
8.5 0.0 0.0 36.8 0.0 0.0 0.0 54.7 0.0 0.0 0.0
10.3 0.0 0.0 24.5 0.0 0.0 0.0 65.2 0.0 0.0 0.0
10.4 0.0 0.0 17.6 0.0 0.0 0.0 72.0 0.0 0.0 0.0
49.52 17.02 8.84 0.0 24.61 0.0 0.0 0.0 0.0 0.0 0.0
60.97 22.62 9.67 0.0 6.73 0.0 0.0 0.0 0.0 0.0 0.0
71.35 13.18 9.12 0.0 6.35 0.0 0.0 0.0 0.0 0.0 0.0
58.67 15.08 18.29 0.0 7.95 0.0 0.0 0.0 0.0 0.0 0.0
53.46 13.23 14.89 0.0 14.34 0.0 0.0 0.0 0.0 0.0 1.67
48.64 5.21 0.0 0.0 46.15 0.0 0.0 0.0 0.0 0.0 0.0
11.71 76.54 0.0 0.0 11.12 0.0 0.0 0.0 0.0 0.0 0.0
72.07 1.18 8.58 14.55 2.98 0.0 0.0 0.0 0.64 0.0 0.0
82.18 1.21 1.1 3.98 0.0 11.52 0.0 0.0 0.0 0.0 0.0
72.14 3.08 7.84 8.1 0.0 5.41 0.0 0.0 2.66 0.0 0.0
63.52 9.17 0.22 15.34 0.6 0.0 3.49 0.0 7.53 0.0 0.0
96.8 0.59 0.0 0.0 0.0 2.6 0.0 0.0 0.0 0.0 0.0
58.45 12.08 6.59 0.99 18.34 3.54 0.0 0.0 0.0 0.0 0.0
82.36 1.21 0.0 3.99 0.0 12.43 0.0 0.0 0.0 0.0 0.0
71.4 1.17 7.44 13.45 5.91 0.0 0.0 0.0 0.63 0.0 0.0
60.0 22.5 0.0 17.5 0.0 0.0 0.0 0.0 0.0 0.0 0.0
60.0 13.33 26.67 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
60.0 17.5 22.5 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
60.0 0.0 0.0 32.0 0.0 8.0 0.0 0.0 0.0 0.0 0.0
60.0 0.0 0.0 24.0 0.0 16.0 0.0 0.0 0.0 0.0 0.0
60.0 0.0 0.0 17.5 0.0 22.5 0.0 0.0 0.0 0.0 0.0
57.92 9.33 25.16 0.0 0.0 6.23 0.0 0.0 0.0 0.0 0.0
72.22 0.7 14.87 12.2 0.0 0.0 0.0 0.0 0.0 0.0 0.0
73.24 0.0 11.61 15.15 0.0 0.0 0.0 0.0 0.0 0.0 0.0
73.71 0.0 10.88 15.41 0.0 0.0 0.0 0.0 0.0 0.0 0.0
73.23 0.0 9.79 16.97 0.0 0.0 0.0 0.0 0.0 0.0 0.0
23.24 0.0 0.0 6.98 0.0 0.0 0.0 69.78 0.0 0.0 0.0
22.45 0.0 0.0 10.11 0.0 0.0 0.0 67.43 0.0 0.0 0.0
21.72 0.0 0.0 13.05 0.0 0.0 0.0 65.23 0.0 0.0 0.0
21.04 0.0 0.0 15.79 0.0 0.0 0.0 63.17 0.0 0.0 0.0
20.64 0.0 0.0 17.36 0.0 0.0 0.0 62.0 0.0 0.0 0.0
20.39 0.0 0.0 18.37 0.0 0.0 0.0 61.24 0.0 0.0 0.0
19.22 0.0 0.0 23.08 0.0 0.0 0.0 57.7 0.0 0.0 0.0
48.31 0.0 0.0 3.38 0.0 0.0 0.0 48.31 0.0 0.0 0.0
47.62 0.0 0.0 4.76 0.0 0.0 0.0 47.62 0.0 0.0 0.0
47.17 0.0 0.0 5.66 0.0 0.0 0.0 47.17 0.0 0.0 0.0
46.51 0.0 0.0 6.98 0.0 0.0 0.0 46.51 0.0 0.0 0.0
45.87 0.0 0.0 8.26 0.0 0.0 0.0 45.87 0.0 0.0 0.0
45.45 0.0 0.0 9.09 0.0 0.0 0.0 45.45 0.0 0.0 0.0
44.44 0.0 0.0 11.11 0.0 0.0 0.0 44.44 0.0 0.0 0.0
43.48 0.0 0.0 13.04 0.0 0.0 0.0 43.48 0.0 0.0 0.0
42.92 0.0 0.0 14.16 0.0 0.0 0.0 42.92 0.0 0.0 0.0
40.0 0.0 0.0 20.0 0.0 0.0 0.0 40.0 0.0 0.0 0.0
38.46 0.0 0.0 23.08 0.0 0.0 0.0 38.46 0.0 0.0 0.0
35.71 0.0 0.0 28.57 0.0 0.0 0.0 35.71 0.0 0.0 0.0
34.48 0.0 0.0 31.03 0.0 0.0 0.0 34.48 0.0 0.0 0.0
33.33 0.0 0.0 33.33 0.0 0.0 0.0 33.33 0.0 0.0 0.0
23.91 0.0 0.0 0.0 0.0 0.0 0.0 72.46 3.62 0.0 0.0
23.08 0.0 0.0 0.0 0.0 0.0 0.0 69.93 6.99 0.0 0.0
21.57 0.0 0.0 0.0 0.0 0.0 0.0 65.36 13.07 0.0 0.0
20.89 0.0 0.0 0.0 0.0 0.0 0.0 63.29 15.82 0.0 0.0
20.25 0.0 0.0 0.0 0.0 0.0 0.0 61.35 18.4 0.0 0.0
19.08 0.0 0.0 0.0 0.0 0.0 0.0 57.8 23.12 0.0 0.0
47.62 0.0 0.0 0.0 0.0 0.0 0.0 47.62 4.76 0.0 0.0
45.45 0.0 0.0 0.0 0.0 0.0 0.0 45.45 9.09 0.0 0.0
43.48 0.0 0.0 0.0 0.0 0.0 0.0 43.48 13.04 0.0 0.0
40.0 0.0 0.0 0.0 0.0 0.0 0.0 40.0 20.0 0.0 0.0
64.52 0.0 19.85 14.89 0.0 0.0 0.0 0.0 0.0 0.0 0.0
64.04 0.0 19.71 14.78 0.0 0.0 0.0 0.0 0.0 0.0 0.0
63.11 0.0 19.42 14.57 0.0 0.0 0.0 0.0 0.0 0.0 0.0
77.5 0.0 0.0 0.0 0.0 0.0 22.5 0.0 0.0 0.0 0.0
72.5 0.0 0.0 0.0 0.0 0.0 27.5 0.0 0.0 0.0 0.0
82.0 0.0 0.0 18.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
77.5 0.0 0.0 22.5 0.0 0.0 0.0 0.0 0.0 0.0 0.0
72.5 0.0 0.0 27.5 0.0 0.0 0.0 0.0 0.0 0.0 0.0
74.0 0.0 0.0 0.0 0.0 0.0 26.0 0.0 0.0 0.0 0.0
83.05 1.21 0.22 4.18 0.31 10.64 0.0 0.0 0.39 0.0 0.0
74.8 0.0 11.5 13.7 0.0 0.0 0.0 0.0 0.0 0.0 0.0
75.0 10.0 5.0 0.0 5.0 0.0 0.0 0.0 0.0 0.0 5.0
70.0 15.0 5.0 0.0 5.0 0.0 0.0 0.0 0.0 0.0 5.0
65.0 20.0 5.0 0.0 5.0 0.0 0.0 0.0 0.0 0.0 5.0
60.0 25.0 5.0 0.0 5.0 0.0 0.0 0.0 0.0 0.0 5.0
70.0 10.0 5.0 0.0 10.0 0.0 0.0 0.0 0.0 0.0 5.0
65.0 10.0 5.0 0.0 15.0 0.0 0.0 0.0 0.0 0.0 5.0
70.0 10.0 10.0 0.0 5.0 0.0 0.0 0.0 0.0 0.0 5.0
65.0 10.0 15.0 0.0 5.0 0.0 0.0 0.0 0.0 0.0 5.0
70.0 10.0 5.0 0.0 5.0 0.0 0.0 0.0 0.0 0.0 10.0
65.0 10.0 5.0 0.0 5.0 0.0 0.0 0.0 0.0 0.0 15.0
64.15 11.95 0.0 9.45 0.0 3.67 10.73 0.0 0.04 0.0 0.0
73.08 0.0 0.0 24.38 0.0 0.0 0.0 0.0 0.0 0.0 0.0
72.74 0.0 0.0 24.27 0.0 0.0 0.0 0.0 0.0 0.0 0.0
66.68 0.0 11.03 22.29 0.0 0.0 0.0 0.0 0.0 0.0 0.0
66.34 0.0 10.97 22.18 0.0 0.0 0.0 0.0 0.0 0.0 0.0
